slide_name,roi_name,filepath,label
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_5.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/E/13829$2000-005-1$US$SCAN$OR$001 -region_5.tiff,E
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_8.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/E/13829$2000-005-1$US$SCAN$OR$001 -region_8.tiff,E
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_1.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_1.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_10.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_10.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_11.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_11.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_12.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_12.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_13.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_13.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_14.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_14.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_15.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_15.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_16.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_16.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_18.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_18.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_19.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_19.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_2.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_2.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_21.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_21.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_22.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_22.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_23.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_23.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_3.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_3.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_4.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_4.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_5.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_5.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_7.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_7.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_8.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_8.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_9.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /Y/13829$2000-005-2$US$SCAN$OR$001 -region_9.tiff,Y
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_17.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /E/13829$2000-005-2$US$SCAN$OR$001 -region_17.tiff,E
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_20.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /E/13829$2000-005-2$US$SCAN$OR$001 -region_20.tiff,E
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_24.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /E/13829$2000-005-2$US$SCAN$OR$001 -region_24.tiff,E
13829$2000-005-2$US$SCAN$OR$001 ,13829$2000-005-2$US$SCAN$OR$001 -region_6.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-2$US$SCAN$OR$001 /E/13829$2000-005-2$US$SCAN$OR$001 -region_6.tiff,E
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_1.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_1.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_10.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_10.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_11.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_11.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_12.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_12.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_13.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_13.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_14.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_14.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_15.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_15.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_16.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_16.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_17.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_17.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_18.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_18.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_19.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_19.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_2.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_2.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_20.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_20.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_21.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_21.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_22.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_22.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_23.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_23.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_24.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_24.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_3.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_3.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_4.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_4.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_5.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_5.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_6.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_6.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_7.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_7.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_8.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_8.tiff,Y
13829$2000-005-5$US$SCAN$OR$001 -003,13829$2000-005-5$US$SCAN$OR$001 -003-region_9.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-5$US$SCAN$OR$001 -003/Y/13829$2000-005-5$US$SCAN$OR$001 -003-region_9.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_1.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_1.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_10.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_10.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_11.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_11.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_12.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_12.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_13.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_13.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_14.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_14.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_15.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_15.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_2.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_2.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_3.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_3.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_4.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_4.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_5.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_5.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_6.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_6.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_7.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_7.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_8.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_8.tiff,Y
13829$2000-050-01$US$SCAN$OR$001 ,13829$2000-050-01$US$SCAN$OR$001 -region_9.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-01$US$SCAN$OR$001 /Y/13829$2000-050-01$US$SCAN$OR$001 -region_9.tiff,Y
13829$2000-050-02$US$SCAN$OR$001 ,13829$2000-050-02$US$SCAN$OR$001 -region_1.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-02$US$SCAN$OR$001 /Y/13829$2000-050-02$US$SCAN$OR$001 -region_1.tiff,Y
13829$2000-050-02$US$SCAN$OR$001 ,13829$2000-050-02$US$SCAN$OR$001 -region_2.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-02$US$SCAN$OR$001 /Y/13829$2000-050-02$US$SCAN$OR$001 -region_2.tiff,Y
13829$2000-050-02$US$SCAN$OR$001 ,13829$2000-050-02$US$SCAN$OR$001 -region_3.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-02$US$SCAN$OR$001 /Y/13829$2000-050-02$US$SCAN$OR$001 -region_3.tiff,Y
13829$2000-050-02$US$SCAN$OR$001 ,13829$2000-050-02$US$SCAN$OR$001 -region_4.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-02$US$SCAN$OR$001 /Y/13829$2000-050-02$US$SCAN$OR$001 -region_4.tiff,Y
13829$2000-050-02$US$SCAN$OR$001 ,13829$2000-050-02$US$SCAN$OR$001 -region_6.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-02$US$SCAN$OR$001 /Y/13829$2000-050-02$US$SCAN$OR$001 -region_6.tiff,Y
13829$2000-050-02$US$SCAN$OR$001 ,13829$2000-050-02$US$SCAN$OR$001 -region_5.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-02$US$SCAN$OR$001 /N/13829$2000-050-02$US$SCAN$OR$001 -region_5.tiff,N
13829$2000-050-04$US$SCAN$OR$001 ,13829$2000-050-04$US$SCAN$OR$001 -region_1.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-04$US$SCAN$OR$001 /Y/13829$2000-050-04$US$SCAN$OR$001 -region_1.tiff,Y
13829$2000-050-04$US$SCAN$OR$001 ,13829$2000-050-04$US$SCAN$OR$001 -region_10.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-04$US$SCAN$OR$001 /Y/13829$2000-050-04$US$SCAN$OR$001 -region_10.tiff,Y
13829$2000-050-04$US$SCAN$OR$001 ,13829$2000-050-04$US$SCAN$OR$001 -region_11.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-050-04$US$SCAN$OR$001 /Y/13829$2000-050-04$US$SCAN$OR$001 -region_11.tiff,Y
